idx,X1,Y1,X2,Y2
0,1027,2968,1075,2983
1,55,2881,145,2966
2,633,2886,893,2941
3,1024,2869,1064,2940
4,922,2900,931,2937
5,243,2867,273,2923
6,575,2849,591,2865
7,1026,2822,1064,2841
8,856,2485,953,2836
9,244,2806,273,2830
10,627,2769,666,2806
11,599,2740,622,2802
12,669,2745,723,2797
13,248,2749,273,2770
14,634,2725,697,2738
15,515,2672,586,2701
16,676,2678,707,2701
17,638,2677,671,2701
18,556,2661,585,2670
19,530,2644,584,2654
20,636,2561,699,2633
21,516,2558,580,2632
22,307,2523,344,2610
23,43,2557,72,2608
24,75,2373,176,2578
25,281,2534,298,2569
26,403,2546,419,2562
27,259,2533,271,2561
28,208,2531,216,2554
29,549,2516,580,2543
30,512,2515,548,2541
31,1081,2355,1084,2530
32,208,2502,217,2524
33,359,2504,384,2517
34,957,2424,1014,2509
35,266,2364,363,2503
36,209,2472,217,2495
37,912,2443,940,2484
38,550,2451,583,2476
39,511,2450,543,2474
40,209,2442,217,2465
41,609,2450,631,2458
42,677,2433,699,2441
43,209,2413,218,2435
44,996,2376,1018,2423
45,828,2340,917,2418
46,210,2383,218,2405
47,187,2381,200,2402
48,607,2315,687,2402
49,48,2336,74,2382
50,177,2366,233,2378
51,994,2327,1019,2375
52,181,2332,222,2363
53,229,2318,241,2345
54,246,2318,255,2341
55,934,2271,968,2337
56,86,2292,129,2325
57,129,2228,200,2304
58,205,2231,268,2303
59,972,2271,1006,2302
60,896,2279,929,2301
61,833,2232,891,2301
62,478,2253,509,2280
63,290,2250,326,2277
64,402,2252,438,2277
65,440,2251,476,2277
66,364,2248,398,2276
67,328,2251,359,2275
68,897,2235,930,2254
69,80,2203,88,2226
70,96,2204,104,2226
71,932,2074,975,2094
72,853,2072,895,2093
73,238,1883,356,2087
74,149,2030,182,2082
75,418,1977,434,1993
76,934,1957,987,1983
77,854,1962,897,1980
78,651,1851,734,1923
79,393,1819,456,1891
80,514,1752,529,1889
81,936,1847,978,1874
82,856,1850,899,1869
83,311,1844,320,1867
84,378,1843,386,1866
85,654,1771,735,1831
86,423,1773,432,1796
87,922,1778,948,1791
88,923,1755,949,1768
89,656,1691,744,1750
90,923,1732,949,1746
91,176,1669,233,1740
92,923,1705,949,1719
93,305,1689,378,1705
94,410,1652,441,1686
95,334,1655,354,1671
96,656,1610,738,1671
97,304,1656,328,1671
98,374,1657,395,1670
99,872,1325,1004,1663
100,5,1540,29,1650
101,250,1357,542,1645
102,658,1530,738,1591
103,223,1508,239,1531
104,558,1511,574,1531
105,658,1449,739,1510
106,2,1487,27,1509
107,560,1472,575,1495
108,223,1472,240,1492
109,223,1428,240,1474
110,561,1439,575,1459
111,659,1368,740,1429
112,224,1406,238,1426
113,559,1395,574,1421
114,224,1372,242,1408
115,559,1361,575,1380
116,659,1288,741,1360
117,247,1340,292,1357
118,373,1342,506,1348
119,837,1267,928,1331
120,996,1287,1013,1314
121,60,1256,68,1301
122,528,1203,591,1288
123,660,1208,752,1269
124,861,1253,915,1264
125,786,1223,855,1248
126,388,1227,446,1238
127,978,1221,1030,1235
128,304,1222,327,1230
129,474,1210,490,1226
130,405,1199,414,1222
131,452,1200,461,1222
132,389,1199,398,1221
133,504,1197,513,1219
134,995,1203,1029,1217
135,957,1185,990,1216
136,919,1185,952,1216
137,854,1149,914,1215
138,995,1186,1027,1201
139,662,1129,743,1189
140,307,1102,368,1186
141,958,1151,991,1182
142,996,1151,1029,1182
143,919,1150,952,1181
144,402,1101,462,1178
145,480,1103,542,1176
146,137,1136,152,1152
147,551,1127,559,1150
148,164,1089,194,1114
149,664,1048,751,1109
150,219,1066,228,1088
151,162,1060,191,1070
152,410,996,463,1067
153,498,997,556,1064
154,342,998,383,1045
155,972,1021,981,1043
156,955,1021,963,1043
157,106,931,235,1043
158,920,1020,928,1043
159,937,1020,946,1043
160,902,1020,911,1042
161,885,1020,893,1042
162,667,923,743,1010
163,879,903,958,988
164,350,979,373,988
165,528,979,550,987
166,365,935,381,970
167,304,950,333,963
168,468,940,491,949
169,305,931,331,944
170,417,849,465,932
171,303,911,332,924
172,486,842,547,923
173,354,904,380,922
174,851,899,867,915
175,158,889,167,912
176,207,890,216,912
177,174,889,183,912
178,191,889,200,912
179,648,890,671,899
180,719,874,741,882
181,914,858,923,881
182,937,859,945,881
183,345,821,384,872
184,865,855,888,863
185,866,837,888,845
186,622,759,698,830
187,509,820,531,829
188,700,789,738,823
189,882,782,903,804
190,713,757,746,789
191,715,719,740,749
192,918,717,951,749
193,855,679,913,748
194,553,726,572,742
195,549,707,574,725
196,918,682,951,714
197,996,680,1028,711
198,958,644,992,711
199,550,658,575,696
200,997,645,1029,676
201,119,478,184,661
202,342,559,513,658
203,862,585,941,654
204,537,561,598,645
205,230,603,254,634
206,182,601,211,633
207,1107,467,1110,626
208,960,489,1047,606
209,184,562,212,596
210,230,563,255,594
211,231,522,255,554
212,182,522,211,553
213,905,497,938,531
214,855,497,889,519
215,918,163,975,491
216,965,131,1115,489
217,247,453,263,469
218,890,438,918,452
219,684,383,737,436
220,348,329,522,426
221,870,384,896,415
222,539,323,601,407
223,90,140,128,395
224,138,142,168,383
225,873,309,900,341
226,178,290,215,322
227,179,216,223,288
228,874,235,913,273
229,538,153,600,238
230,447,152,510,238
231,362,150,424,235
232,835,170,876,224
233,180,143,212,217
234,652,197,668,213
235,1051,0,1086,143
236,972,92,1012,133
237,214,87,370,133
238,1007,48,1040,133
239,678,95,923,129
240,539,30,602,114
241,436,28,499,113
242,371,21,386,101
243,118,74,155,93
244,93,8,182,82
245,964,34,973,79
246,1104,9,1115,46
